Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
sw2107121211530313,Lencería sensual Bordado Transparente Liso Sexy,Lencería sensual Bordado Transparente Liso Sexy,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,M,,,sw2107121211530313,200,shopify,4,deny,manual,349.99,402.4885,True,False,,,,Lencería sensual Bordado Transparente Liso Sexy,False,Lencería sensual Bordado Transparente Liso Sexy,Lencería sensual Bordado Transparente Liso Sexy,g,Active
si2204222737713475,3 piezas Body teddy de malla en contraste,3 piezas Body teddy de malla en contraste,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rosa Pálido,Size,S,,,si2204222737713475,200,shopify,1,deny,manual,599.99,689.9884999999999,True,False,,,,3 piezas Body teddy de malla en contraste,False,3 piezas Body teddy de malla en contraste,3 piezas Body teddy de malla en contraste,g,Active
si2302233198001004,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,L,,,si2302233198001004,200,shopify,1,deny,manual,599.99,689.9884999999999,True,False,,,,4 piezas Set disfraz de colegiala de tartán de malla en contraste,False,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,g,Active
si2302233198001004,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,M,,,si2302233198001004,200,shopify,1,deny,manual,599.99,689.9884999999999,True,False,,,,4 piezas Set disfraz de colegiala de tartán de malla en contraste,False,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,g,Active
si2302233198001004,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,S,,,si2302233198001004,200,shopify,1,deny,manual,599.99,689.9884999999999,True,False,,,,4 piezas Set disfraz de colegiala de tartán de malla en contraste,False,4 piezas Set disfraz de colegiala de tartán de malla en contraste,4 piezas Set disfraz de colegiala de tartán de malla en contraste,g,Active
si2306057129911611,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,XG,,,si2306057129911611,200,shopify,1,deny,manual,699.99,804.9884999999999,True,False,,,,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,False,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,g,Active
si2306057129911611,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,G,,,si2306057129911611,200,shopify,1,deny,manual,699.99,804.9884999999999,True,False,,,,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,False,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,g,Active
si2306057129911611,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,M,,,si2306057129911611,200,shopify,1,deny,manual,699.99,804.9884999999999,True,False,,,,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,False,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,g,Active
si2306057129911611,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Rojo,Size,CH,,,si2306057129911611,200,shopify,1,deny,manual,699.99,804.9884999999999,True,False,,,,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,False,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,SHEIN con encaje floral ribete con fruncido Set de lencería & Bata con cinturón,g,Active
swsexy04191217294,Body teddy con gargantilla con aro con diadema con pulsera,Body teddy con gargantilla con aro con diadema con pulsera,AMBAR,Lingerie,Lenceria,"Lenceria, ropa interior, ropa intima, sexy",FALSE,Color,Blanco y Negro,Size,CH,,,swsexy04191217294,200,shopify,1,deny,manual,549.99,632.4884999999999,True,False,,,,Body teddy con gargantilla con aro con diadema con pulsera,False,Body teddy con gargantilla con aro con diadema con pulsera,Body teddy con gargantilla con aro con diadema con pulsera,g,Active
